anno_id,image,question,answer
1,0.jpg,quán ăn này bán những món gì ?,"mì quảng , bún bò huế"
2,0.jpg,quán ăn này bán mì gì ?,mì quảng
3,0.jpg,quán ăn gì bán bún gì ?,bún bò huế
4,0.jpg,quán ăn này địa chỉ ở đâu ?,"13a trần quốc thảo , phường 7 , quận 3"
5,1.jpg,tiệm trong ảnh là tiệm gì ?,sửa xe
6,1.jpg,tiệm sửa xe này sửa những xe gì ?,"honda , tay ga"
7,1.jpg,tiệm sửa xe này tên gì ?,nhựt
8,1.jpg,số điện thoại tiệm này là gì ?,0917876154
9,2.jpg,ở đây là đâu ?,đường sách
10,2.jpg,địa chỉ web của cửa tiệm đầu tiên là gì ?,www . nxbhcm . com . vn
11,2.jpg,địa chỉ web của cửa tiệm đầu tiên là gì ?,www . sachweb . vn
12,3.jpg,tác giả cuốn sách này là ai ?,roger e . a . farmer
13,3.jpg,cuốn sách này tên gì ?,cách nền kinh tế vận hành
14,3.jpg,cuốn sách này nói gì về nên kinh tế ?,vận hành
15,4.jpg,nhà xuất bản cuốn sách này là ai ?,tủ sách bách khoa tri thức phổ thông
16,4.jpg,cuốn sách này tên gì ?,lịch sử các nền văn minh
17,4.jpg,cuốn sách này nói về lịch sử của gì ?,các nền văn minh
18,4.jpg,cuốn sách này nói gì về các nền văn minh ?,lịch sử
19,5.jpg,số điện thoại nơi này là gì ?,0868897303
20,5.jpg,ở đây làm về việc gì ?,tư vấn du học
21,5.jpg,tên nơi này là gì ?,tùng lâm
22,6.jpg,cửa tiệm trong ảnh tên gì ?,samsung
23,6.jpg,nơi này đang tổ chức cái gì ?,khai trương rộn rã
24,6.jpg,địa chỉ cửa tiệm bên phải là gì ?,93 đồng khởi
25,7.jpg,nơi này tên là gì ?,linh xí shop
26,8.jpg,công viên này tên là gì ?,one world
27,8.jpg,công viên này thuộc nơi nào ?,dat quang riverside
28,8.jpg,nơi này thuộc dự án tập đoàn nào ?,dat xanh mien trung
40,12.jpg,ở đây là đâu ?,ngã tư trúc bạch - châu long
41,12.jpg,nơi trong ảnh là ngã tư gì ?,trúc bạch - châu long
42,12.jpg,ảnh được lấy nguồn từ đâu ?,dadi . gogo
43,12.jpg,người mặc áo trắng đọc báo gì ?,quân đội nhân dân
44,13.jpg,quầy hàng trong ảnh bán bánh gì ?,cosy
45,13.jpg,giá khuyến mãi của hộp bánh là bao nhiêu ?,90200
46,14.jpg,tờ quảng cáo này của ai ?,bách hóa xanh
47,14.jpg,tên tờ quảng cáo là gì ?,khai trương rộn ràng ngập tràn khuyến mãi
48,14.jpg,ngày khai trương cửa hàng là ngày bao nhiêu ?,thứ sáu 27 / 03
49,14.jpg,địa chỉ bách hóa xanh là gì ?,"1459 quốc lộ 20 , ấp ngọc lâm 1 , x . phú xuân , h . tân phú"
50,14.jpg,tờ rơi áp dụng khoảng thời gian nào ?,27 / 03 - 02 / 04 / 2020
